Hotel_ID,Hotel_Name,City,Province,Latitude,Longitude,Year,Month,Avg_Occupancy_%,Room_Rate_PKR,Total_Rooms,Rooms_Booked,Customer_Type,Booking_Source,Staff_Count,Amenities_Count,Customer_Rating,Total_Revenue,Foreign_Visitors,Local_Visitors
HTL0001,Marriott_1,Multan,KPK,36.4403,73.2525,2024,12,65.3,12410,236,154,Business,Booking.com,133,8,3.2,1911140,4,150
HTL0002,Beach Luxury_2,Karachi,KPK,25.9112,65.5293,2024,5,62.9,24384,124,78,Tour Group,Booking.com,106,11,2.6,1901952,11,67
HTL0003,Avari_3,Islamabad,KPK,34.4692,61.3957,2020,9,31.0,15816,42,13,Business,Booking.com,148,22,3.4,205608,4,9
HTL0004,Pearl Continental_4,Karachi,KPK,27.2474,66.8389,2024,9,73.0,19500,89,65,Tour Group,Travel Agency,145,29,3.5,1267500,11,54
HTL0005,Pearl Continental_5,Quetta,KPK,32.561,61.7369,2022,2,40.0,8697,55,22,Tour Group,Airbnb,90,22,3.7,191334,12,10
HTL0006,Ramada_6,Peshawar,Punjab,36.3624,66.3644,2021,1,29.6,22670,297,88,Family,Booking.com,47,8,4.8,1994960,52,36
HTL0007,Hotel One_7,Multan,Islamabad Capital Territory,33.7712,72.8925,2020,3,91.8,22535,171,157,Family,Booking.com,78,11,2.6,3537995,1,156
HTL0008,Ramada_8,Faisalabad,KPK,28.4502,61.006,2021,1,6.7,13023,104,7,Tour Group,Walk-in,44,26,2.9,91161,5,2
HTL0009,Pearl Continental_9,Faisalabad,Islamabad Capital Territory,28.3422,72.1814,2023,8,57.6,20287,59,34,Family,Booking.com,149,17,4.9,689758,19,15
HTL0010,Avari_10,Peshawar,KPK,34.8683,70.2601,2021,1,79.9,8653,144,115,Business,Airbnb,77,10,3.1,995095,13,102
HTL0011,Beach Luxury_11,Faisalabad,Islamabad Capital Territory,29.9825,66.1487,2021,7,81.2,22974,170,138,Family,Booking.com,105,16,3.3,3170412,84,54
HTL0012,Serena_12,Karachi,Islamabad Capital Territory,35.4783,73.6061,2025,6,97.4,17026,38,37,Tour Group,Airbnb,140,13,3.2,629962,18,19
